Date,Open,High,Low,Close,Adj Close,Volume
2022-04-04,164.610001,169.429993,162.050003,168.009995,168.009995,468700
2022-04-05,168.360001,169.539993,158.475006,160.259995,160.259995,304000
2022-04-06,156.139999,156.929993,146.229996,152.979996,152.979996,578900
2022-04-07,151.580002,157.149994,148.505005,154.350006,154.350006,322100
2022-04-08,151.419998,154.880005,146.600006,151.910004,151.910004,294600
2022-04-11,145.009995,150.893005,145.009995,146.839996,146.839996,275000
2022-04-12,149.919998,153.649994,145.684998,147.919998,147.919998,216300
2022-04-13,149.300003,150.250000,145.770004,148.139999,148.139999,193500
2022-04-14,148.550003,148.550003,143.100006,144.509995,144.509995,166800
2022-04-18,143.169998,143.169998,134.464996,136.759995,136.759995,273800
2022-04-19,136.300003,143.789993,136.300003,139.490005,139.490005,285900
2022-04-20,140.429993,144.970001,135.820007,142.529999,142.529999,211200
2022-04-21,145.039993,149.300003,133.369995,133.929993,133.929993,252100
2022-04-22,132.610001,134.630005,124.750000,126.230003,126.230003,287100
2022-04-25,125.889999,132.679993,125.889999,131.800003,131.800003,182800
2022-04-26,129.770004,131.360001,126.010002,127.949997,127.949997,200700
2022-04-27,128.220001,132.300003,127.599998,129.919998,129.919998,261900
2022-04-28,131.639999,131.639999,117.269997,124.489998,124.489998,363800
2022-04-29,124.739998,132.000000,122.410004,123.370003,123.370003,497100
2022-05-02,123.459999,128.429993,121.599998,128.009995,128.009995,297100
2022-05-03,128.009995,131.274994,124.680000,128.679993,128.679993,225300
2022-05-04,129.979996,130.089996,119.705002,129.720001,129.720001,350300
2022-05-05,128.149994,128.149994,114.849998,118.120003,118.120003,450100
2022-05-06,149.130005,149.130005,121.000000,124.970001,124.970001,1102700
2022-05-09,122.279999,124.620003,113.260002,120.339996,120.339996,666000
2022-05-10,121.430000,138.470001,119.650002,133.000000,133.000000,647600
2022-05-11,132.649994,133.839996,120.629997,122.599998,122.599998,354800
2022-05-12,121.440002,131.139999,118.900002,129.779999,129.779999,420800
2022-05-13,129.770004,141.690002,128.929993,139.039993,139.039993,549800
2022-05-16,139.330002,142.149994,132.229996,133.000000,133.000000,239100
2022-05-17,136.020004,137.000000,132.307007,133.070007,133.070007,228700
2022-05-18,130.740005,133.149994,123.699997,125.540001,125.540001,281900
2022-05-19,124.519997,134.589996,124.519997,133.009995,133.009995,316400
2022-05-20,134.240005,138.649994,126.080002,132.990005,132.990005,268800
2022-05-23,133.389999,139.664993,129.789993,138.850006,138.850006,250800
2022-05-24,135.960007,136.000000,127.660004,130.429993,130.429993,245600
2022-05-25,130.100006,136.014999,128.110001,135.240005,135.240005,240100
2022-05-26,135.500000,137.779999,132.955002,136.539993,136.539993,263700
2022-05-27,137.220001,140.669998,134.645004,140.610001,140.610001,405100
2022-05-31,140.850006,144.684998,140.000000,140.850006,140.850006,450700
2022-06-01,140.850006,140.850006,130.860001,137.979996,137.979996,388600
2022-06-02,137.979996,150.669998,135.869995,143.110001,143.110001,367800
2022-06-03,140.710007,143.949997,138.509995,143.460007,143.460007,226700
2022-06-06,146.029999,147.699997,142.429993,147.149994,147.149994,203000
2022-06-07,145.970001,153.210999,145.820007,151.899994,151.899994,223300
2022-06-08,151.759995,152.570007,145.770004,149.220001,149.220001,351700
2022-06-09,144.529999,144.585007,133.449997,138.029999,138.029999,611300
2022-06-10,133.169998,137.669998,130.479996,134.509995,134.509995,370900
2022-06-13,129.539993,129.539993,114.779999,116.930000,116.930000,606000
2022-06-14,117.120003,117.910004,110.980003,113.919998,113.919998,311300
2022-06-15,114.830002,118.389999,110.764999,115.260002,115.260002,655600
2022-06-16,111.080002,112.199997,103.029999,107.949997,107.949997,443200
2022-06-17,108.050003,114.339996,106.839996,108.150002,108.150002,599600
2022-06-21,111.510002,114.730003,109.750000,111.260002,111.260002,628000
2022-06-22,108.889999,111.419998,106.985001,108.290001,108.290001,484400
2022-06-23,109.190002,111.035004,107.339996,109.980003,109.980003,368900
2022-06-24,109.879997,116.279999,109.139999,115.620003,115.620003,727600
2022-06-27,117.720001,117.720001,113.430000,113.949997,113.949997,364800
2022-06-28,114.730003,115.879997,110.769997,113.559998,113.559998,349100
2022-06-29,112.790001,116.559998,110.230003,116.379997,116.379997,270000
2022-06-30,113.699997,114.190002,107.294998,108.029999,108.029999,425000
2022-07-01,107.839996,112.370003,105.330002,112.245003,112.245003,252500
2022-07-05,108.959999,117.339996,107.480003,116.750000,116.750000,288100
2022-07-06,117.129997,118.320000,108.940002,110.279999,110.279999,237900
2022-07-07,110.570000,116.580002,110.400002,115.070000,115.070000,291900
2022-07-08,131.009995,145.766006,130.949997,141.720001,141.720001,2842200
